,SNO,Country_Name,Population2020,World_share_Percent,Land_Area_KM,Country_Code,Indicator_Name,Total_Population2018,Population_density2018,Population_density2020
0,1,China,1439323776,18.55963,9388211,CHN,Population density (people per sq. km of land area),1392730000,148.3488333,153.3118265
1,2,India,1380004385,17.79472,2973190,IND,Population density (people per sq. km of land area),1352617328,454.9380726,464.1494102
2,3,United States,331002651,4.26818,9147420,USA,Population density (people per sq. km of land area),326687501,35.76608858,36.1853562
3,4,Indonesia,273523615,3.527,1811570,IDN,Population density (people per sq. km of land area),267663435,147.7521901,150.9870527
4,5,Pakistan,220892340,2.84834,770880,PAK,Population density (people per sq. km of land area),212215030,275.2893187,286.545688
5,6,Brazil,212559417,2.74089,8358140,BRA,Population density (people per sq. km of land area),209469333,25.06171624,25.43142577
6,7,Nigeria,206139589,2.65811,910770,NGA,Population density (people per sq. km of land area),195874740,215.064989,226.3355062
7,8,Bangladesh,164689383,2.12362,130170,BGD,Population density (people per sq. km of land area),161356039,1239.579312,1265.186932
8,9,Russia,145934462,1.88178,16376870,,,,,8.91101059
9,10,Mexico,128932753,1.66255,1943950,MEX,Population density (people per sq. km of land area),126190788,64.91462641,66.32513851
10,11,Japan,126476461,1.63087,364555,JPN,Population density (people per sq. km of land area),126529100,347.0734584,346.9338262
11,12,Ethiopia,114963588,1.48242,1000000,ETH,Population density (people per sq. km of land area),109224559,109.224559,114.963588
12,13,Philippines,109581078,1.41301,298170,PHL,Population density (people per sq. km of land area),106651922,357.6883053,367.5120837
13,14,Egypt,102334404,1.31957,995450,,,,,102.8021538
14,15,Vietnam,97338579,1.25515,310070,VNM,Population density (people per sq. km of land area),95540395,308.1252459,313.9245299
15,16,DR Congo,89561403,1.15487,2267050,,,,,39.50570257
16,17,Turkey,84339067,1.08753,769630,TUR,Population density (people per sq. km of land area),82319724,106.9601289,109.583913
17,18,Iran,83992949,1.08306,1628550,,,,,51.57529643
18,19,Germany,83783942,1.08037,348560,DEU,Population density (people per sq. km of land area),82905782,237.3709698,240.3716491
19,20,Thailand,69799978,0.90005,510890,THA,Population density (people per sq. km of land area),69428524,135.8972068,136.6242792
20,21,United Kingdom,67886011,0.87537,241930,GBR,Population density (people per sq. km of land area),66460344,274.8273922,280.6018724
21,22,France,65273511,0.84168,547557,FRA,Population density (people per sq. km of land area),66977107,122.3383957,119.2086139
22,23,Italy,60461826,0.77964,294140,ITA,Population density (people per sq. km of land area),60421760,205.4507479,205.5545863
23,24,Tanzania,59734218,0.77025,885800,TZA,Population density (people per sq. km of land area),56318348,63.5790788,67.43533303
